modelo,preço,loja,marca
"Smartphone Motorola Edge 50 Neo 5G - Poinciana, 256GB, 16GB (8GB ram + 8GB ram Boost), Câmera 50MP e Tela de 6,4",3499.0,americanas,motorola
"Smartphone Motorola Edge 50 Fusion 5G - Blue Teal, 256GB, 16GB ram Boost, Câmera Dupla 50MP + 13MP, Selfie 32MP e Tela de 6,7",3179.0,americanas,motorola
Celular Smartphone Poco X7 Pro 5G 512GB 12GB RAM Dual SIM Tela 6.67,3159.0,americanas,marcas menores
Smartphone Samsung Galaxy A06 128GB 4G Tela 6.7 Câmera Dupla 50MP Selfie 8MP Dual Chip Android 14,807.0,americanas,samsung
Smartphone Xiaomi Redmi A3 128GB 4GB RAM Dual SIM Tela 6.71,795.0,americanas,xiaomi
"Smartphone Motorola Moto G15 256GB - Grafite, 12GB Ram Boost, Câmera 50MP, Selfie 8MP e Tela 6,7",1690.0,americanas,motorola
"Smartphone Infinix Hot 30I 128GB 8GB RAM Câmera Dupla 50MP Tela 6,6"" DH Dual Chip - Preto",849.0,americanas,infinix
Smartphone Motorola Moto G05 50 mp 128 gb 4G XT2523-2,1160.0,americanas,motorola
"Smartphone asus rog Phone 8 Pro 512GB 5G Snapdragon 8 Gen 3 16GB Ram Tela 6,78 amoled 165Hz Câm Tripla 50MP + 32MP - Phantom Black",9999.0,americanas,marcas menores
Smartphone Motorola Moto G35 5G 256GB 12GB Ram Boost e Camera 50MP com ai nfc Tela 6.7 com Superbrilho,1279.0,americanas,motorola
Smartphone Motorola Moto G20 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Grafite,1599.0,americanas,motorola
Smartphone Moto G15 256GB Verde Vegan Leather Tela 6.7 Câmera Dupla 50MP Selfie 8MP Dual Chip Android 15 Motorola,1019.0,americanas,motorola
"Smartphone Motorola Moto G35 5G 256GB - Cinza, 12GB ram Boost, Câmera 50 mp + Selfie 16MP e Tela 6,7, Android 14",1499.0,americanas,motorola
"Celular Positivo P26 32 mb Dual Chip Tela 1,8 Câmera vga Bluetooth Rádio fm Preto",199.0,americanas,positivo
Celular Realme Note 50 Dual Sim 64 Gb 3 Gb Ram Smartphone,1091.0,americanas,realme
Smartphone tcl 40 se 256GB Grafite,732.0,americanas,marcas menores
Smartphone Galaxy A16 128GB Samsung,1208.0,americanas,samsung
Smartphone Xiaomi Redmi 14C 128gb - 4gb ram - Azul,1099.0,americanas,xiaomi
Smartphone Motorola Moto G75 5G 256GB 16GB Ram Boost 50MP Sony Camera Moto ai Ultrarresistencia Militar,1955.0,americanas,motorola
Smartphone Moto G15 256GB Grafite Vegan Leather Tela 6.7 Câmera Dupla 50MP Selfie 8MP Dual Chip Android 15 Motorola,1086.0,americanas,motorola
Smartphone Motorola Moto G35 5G 128GB 12GB Ram Boost e Camera 50MP com ai nfc Tela 6.7 com Superbrilho,1209.0,americanas,motorola
Smartphone Samsung Galaxy A03 Core 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera 8MP + Selfie 5MP - Preto,549.0,americanas,samsung
Smartphone Xiaomi Redmi A3 128GB 4GB RAM Dual SIM Tela 6.71,750.0,americanas,xiaomi
Smartphone Samsung Galaxy S20 FE 5G 128GB Snapdragon Tela 6.5'' Dual Chip 6GB RAM Câmera Tripla + Selfie 32MP - Branco,2797.0,americanas,samsung
Smartphone Motorola Moto G35 5G 128GB 12GB Ram Boost e Camera 50MP com ai nfc Tela 6.7 com Superbrilho,1209.0,americanas,motorola
Smartphone Motorola Moto G22 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 16MP - Verde,992.0,americanas,motorola
Smartphone Xiaomi Redmi A3 128GB 4GB RAM Dual SIM Tela 6.71,750.0,americanas,xiaomi
Celular Simples Para Idoso Positivo P26,212.0,americanas,positivo
